Fecha,Tipo Espuma,No. Corrida,No. Block,Tipo Unidad,No. Lote,Tipo Ajuste,Tipo Defecto,OK/NG,Largo der. ,Ancho,Alto,Flujo de Aire,Peso,Volumen,Densidad,Largo Requerido en caliente,Largo requerido en frio,Largo Real vs Requerido (cm),%
4/3/2017,"C15,6-20",,1,Inicio ,S0317,=,=,=,170,135,0,51,35,2.43,14.38,,,,
4/3/2017,"C15,6-20",,2,,S0317,V?163,=,OK,208,135,0,50,44.95,2.98,15.1,,,,
4/3/2017,"C15,6-20",,3,,S0317,"V?165,3",=,OK,154,135.5,0,52,33.75,2.22,15.2,1,,,
4/3/2017,"C15,6-20",,4,,S0317,=,=,OK,153.5,135,0,54,33.85,2.2,15.41,2,,,
4/3/2017,"C15,6-20",,5,,S0317,"V?167,7",=,OK,153,135,0,55,33.55,2.19,15.32,3,,,
4/3/2017,"C15,6-20",,6,,S0317,=,=,OK,154,135,0,54,33.7,2.2,15.29,4,,,
4/3/2017,"C15,6-20",,7,,S0317,=,=,OK,154,135,0,55,33.45,2.2,15.17,5,,,
4/3/2017,"C15,6-20",,8,,S0317,=,=,OK,154,136,0,54,33.85,2.24,15.13,6,,,
4/3/2017,"C15,6-20",,9,,S0317,=,=,OK,154,135,0,53,33.6,2.2,15.24,7,,,
4/3/2017,"C15,6-20",,10,,S0317,=,=,OK,154,135.5,0,57,33.8,2.22,15.22,8,,,
4/3/2017,"C15,6-20",,11,,S0317,=,=,OK,154,135,0,59,33.45,2.2,15.17,9,,,
4/3/2017,"C15,6-20",,12,,S0317,=,=,OK,154,135,0,60,33.5,2.2,15.2,10,,,
4/3/2017,"C15,6-20",,13,,S0317,=,=,OK,154,135,0,59,33.45,2.2,15.17,11,,,
4/3/2017,"C15,6-20",,14,,S0317,=,=,OK,154,135,0,60,33.5,2.2,15.2,12,,,
4/3/2017,"C15,6-20",,15,,S0317,=,=,OK,154,135,0,59,33.45,2.2,15.17,13,,,
4/3/2017,"C15,6-20",,16,,S0317,=,=,OK,154,135,0,60,33.5,2.2,15.2,14,,,
4/3/2017,"C15,6-20",,17,,S0317,=,=,OK,154,135,0,59,33.45,2.2,15.17,15,,,
4/3/2017,"C15,6-20",,18,,S0317,=,=,OK,154,135,0,60,33.5,2.2,15.2,16,,,
4/3/2017,"C15,6-20",,19,,S0317,=,=,OK,154,135,0,58,33.65,2.2,15.27,17,,,
4/3/2017,"C15,6-20",,20,,S0317,=,=,OK,154,136,0,60,33.6,2.24,15.02,18,,,
4/3/2017,"C15,6-20",,21,,S0317,=,=,OK,154,136,0,58,33.75,2.24,15.09,19,,,
4/3/2017,"C15,6-20",,22,,S0317,=,=,OK,154,135.5,0,59,33.6,2.22,15.13,20,,,
4/3/2017,"C15,6-20",,23,,S0317,=,=,OK,153,135,0,63,33.55,2.19,15.32,21,,,
4/3/2017,"C15,6-20",,24,,S0317,=,=,OK,154,135,0,62,33.9,2.2,15.38,22,,,
4/3/2017,"C15,6-20",,25,,S0317,=,=,OK,154,136,0,58,33.7,2.24,15.06,23,,,
4/3/2017,"C15,6-20",,26,,S0317,=,=,OK,155,135.5,0,59,33.85,2.24,15.14,24,,,
4/3/2017,"C15,6-20",,27,,S0317,=,=,OK,154,135,0,60,33.7,2.2,15.29,25,,,
4/3/2017,"C15,6-20",,28,,S0317,=,=,OK,154,135,0,62,33.65,2.2,15.27,26,,,
4/3/2017,"C15,6-20",,29,,S0317,=,=,OK,154,136,0,60,33.6,2.24,15.02,27,,,
